product_picture;product_name;product_id;product_main_category;product_category;product_material;product_color;product_features;product_stock;product_price
10001.png;Paris Table;10001;kitchen, living room, bedroom;table;wood;beige;140x78 cm, 4 seats;50;9000
10002.png;Berlin Table;10002;kitchen, living room, bedroom;table;plastic;black;110x67 cm, 4 seats;50;3000
10003.png;Amsterdam Table;10003;kitchen;table;wood;beige, green;134x82, 2-4 seats, folding;30;4000
10004.png;Rome Table;10004;kitchen, living room;table;wood;beige;120 cm, 4 seats, round, folding;40;15000
10005.png;Helsinki Table;10005;kitchen;table;plastic, metal;black, gray;67x67 cm, 2 seats, folding;60;1700
10006.png;Paris Chair;10006;kitchen;chair;wood;beige;150x45 cm, 3 seats;20;7000
10007.png;Tech Chair;10007;bedroom;chair;plastic, polyester;black;gaming, comfort;25;15000
10008.png;Berlin Chair;10008;kitchen;chair;metal;red;durable;75;2000
10009.png;Amsterdam Chair;10009;kitchen, living room, bedroom;chair;metal, cotton;blue;chic, comfort;45;5500
10010.png;Balat Chair;10010;kitchen;chair;wood;yellow;durable;60;3000
10011.png;Pot Set;10011;kitchen;cooking equipment;metal;gray;durable, 5 pieces;100;6000
10012.png;Glove;10012;kitchen;cooking equipment;polyester;gray;soft, good heat insulation;150;200
10013.png;Helper;10013;kitchen;cooking equipment;wood;beige;durable, hand wash;80;900
10014.png;Plate Set;10014;kitchen;cooking equipment;glass;green;dishwaher safe;45;3000
10015.png;Service;10015;kitchen, living room;decoration;polyester;beige;chic;90;150
10016.png;Mirror;10016;bedroom;decoration;metal;yellow;on-stand;20;2400
10017.png;Cat;10017;kitchen, living room, bedroom, bathroom;decoration;glass;black;1 piece;15;100
10018.png;Birds;10018;kitchen, living room, bedroom;decoration;metal;gray;3 pieces;15;700
10019.png;Manequin;10019;kitchen, living room, bedroom;decoration;wood;beige;able to shift shapes;40;350
10020.png;Clock;10020;kitchen, living room, bedroom;decoration;plastic;red;on wall;30;350
10021.png;Candle;10021;living room, bedroom, bathroom;decoration;glass;white;scented;10;250
10022.png;Plant;10022;kitchen, living room, bedroom, bathroom;decoration;polyester;green;artificial plant;25;120
10023.png;Floor Lamp;10023;kitchen, living room, bedroom;lighting;metal;black;on-stand;25;3500
10024.png;Chandelier;10024;kitchen, living room, bedroom, bathroom;lighting;metal;green;Cord length is 1.8 m;25;5000
10025.png;Wall Lamp;10025;kitchen, living room, bedroom, bathroom;lighting;metal, polyester;white, yellow;Chargable;25;4000
10026.png;Table Lamp;10026;living room, bedroom;lighting;metal;blue;25 cm;25;3500
10027.png;Berlin Sofa;10027;living room;sofa;polyester;blue;corner bed sofa, 3 seats;15;15000
10028.png;Amsterdam Sofa;10028;living room, bedroom;sofa;polyester;green;1 seat;25;7000
10029.png;Rome Sofa;10029;living room;sofa;cotton;orange;3 seat;7;40000
10030.png;Paris Sofa;10030;living room;sofa;cotton;red;corner bed sofa, 4 seats;5;60000
10031.png;Paris Unit;10031;living room;tv unit;wood;white;with book shelfs;15;35000
10032.png;Rome Unit;10032;living room;tv unit;wood;blue;with closed cabinet doors;20;18000
10033.png;Berlin Unit;10033;living room;tv unit;metal;black;easy to arrange cords and access power sockets;10;20000
10034.png;London Coffee Table;10034;living room;side table;wood;brown;extra shelf under table, 180 cm;15;22000
10035.png;Istanbul Coffee Table;10035;living room, bedroom;side table;plastic;orange;70 cm;30;4000
10036.png;Budapest Coffee Table;10036;living room, bedroom;side table;metal;green;50 cm;40;7000
10037.png;New York Coffee Table;10037;living room;side table;plastic;yellow, white;nested side table;25;5000
10038.png;Wave Pillow;10038;living room, bedroom;pillow;cotton;blue, white;square;70;250
10039.png;Sweet Pillow;10039;living room, bedroom;pillow;cotton;pink;round, velvet;50;350
10040.png;Sun Pillow;10040;living room, bedroom;pillow;polyester;yellow;rectangle;65;170
10041.png;Rainbow Rug;10041;living room, bedroom;rug;cotton;yellow, pink, blue, brown, purple, green;colorful, no swipe;25;7800
10042.png;Autumn Rug;10042;living room, bedroom, kitchen;rug;cotton;brown;no stain, waterproof;85;3400
10043.png;Paris Rug;10043;living room, bedroom, kitchen;rug;polyester;pink, red;no swipe;50;1600
10044.png;Cloud Rug;10044;living room, bedroom;rug;polyester;white;puffy, soft;40;3800
10045.png;New York Curtain;10045;living room, bedroom;curtain;polyester;black;blackout, 200x250 cm;35;4400
10046.png;Rome Curtain;10046;living room, bedroom;curtain;cotton;pink;background, 200x250 cm;40;5000
10047.png;Light Free Curtain;10047;living room, bedroom;curtain;cotton;white;blind, 180x220 cm;75;3700
10048.png;Cream Curtain;10048;living room, bedroom;curtain;polyester;beige;folded, 180x220 cm;25;4800
10049.png;Rome Bed;10049;bedroom;bed;wood;brown;storage, double sided, 160x200 cm;15;17000
10050.png;Prag Bed;10050;bedroom;bed;wood;white;single bed, 90x200 cm;25;6000
10051.png;Berlin Bed;10051;bedroom;bed;metal;black;double sided, 160x200 cm;20;7500
10052.png;Bunk Bed;10052;bedroom;bed;metal;gray;bunk bed, 90x200 cm, 2 single beds;10;9500
10053.png;Milano Wardrobe;10053;bedroom;wardrobe;wood;yellow, white;4 doors, 200x350x50 cm, 5 shelfs;35;25000
10054.png;Berlin Wardrobe;10054;bedroom;wardrobe;wood;black;sliding doors, 7 shelfs, 200x400x60 cm;40;45000
10055.png;Corner Wardrobe;10055;bedroom;wardrobe;wood;gray;corner wardrobe, 160/110x230x40 cm;20;35000
10056.png;Amsterdam Wardrobe;10056;bedroom;wardrobe;wood;white;250x200x50 cm, open wardrobe, 7 shelfs;70;15000
10057.png;Strong Box;10057;bedroom, bathroom, kitchen;box;metal;black;no lid;30;600
10058.png;Paris Box;10058;bedroom, bathroom, kitchen, living room;box;polyester;white;has 2 shelfs;25;750
10059.png;Baby Box;10059;bedroom, bathroom, living room;box;cotton;beige;no lid;35;550
10060.png;Toy Box;10060;bedroom, bathroom, kitchen;box;plastic;blue;with lid;70;450
10061.png;Work Box;10061;bedroom, bathroom, kitchen;box;plastic;white;with lid;80;350